브랜드,제품명,현재 판매가,회원 할인가,판매자,다른 판매자,옵션,상세정보,URL
LG전자,"LG전자 울트라PC 15인치 2023 최신 RAM 8GB SSD 256GB 윈도우11
            15UD40R-GX56K · WIN11 Home · 16GB · 512GB · 라이젠5 · 화이트",,"769,000원",두손밸리(주),없음,,"저장장치: SSD, 색상계열: 화이트, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 미장착, 화면크기(인치): 15인치, 쿠팡상품번호: 7704672281 - 21622597741",https://www.coupang.com/vp/products/7704672281?itemId=21622597741&vendorItemId=88673641047
삼성전자,삼성노트북 6세대 코어i5 블랙 사무용 8GB 128GB NT371B5L,"279,300원","265,050원",(주) 월드와이드메모리,없음,"색상: 블랙, CPU 모델명 × 저장용량 × RAM용량 × 운영체제: 코어i3 × 128GB × 8GB × WIN10","화면크기(인치): 15.6, 저장장치: SSD, 색상계열: 블랙, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7679648453 - 20508847294",https://www.coupang.com/vp/products/7679648453?itemId=20508847294&vendorItemId=86364042646
MSI,MSI 2023 모던 14 라이젠5 라이젠 7000 시리즈,"589,000원","489,000원",로켓배송,4,"색상: 매트블랙, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 512GB × 8GB × Free DOS × MODERN 14 C7M-237XKR","CPU 모델명: 라이젠5, CPU 모델 번호: R5-7530U, 화면크기: 35.5cm, 중량: 1.4kg, 출시년월: 2023.09, 쿠팡상품번호: 7648407878 - 20343577592",https://www.coupang.com/vp/products/7648407878?itemId=20343577592&vendorItemId=87428295010
삼성전자,삼성 NT551EBE 8세대 i5 램8G SSD256 윈10 중고노트북,,"329,000원",에스엔에스 시스템,2,"색상: 단일색상, CPU 모델명 × 저장용량 × RAM용량 × 운영체제: 코어i5 × 256GB × 8GB × WIN10","저장장치: SSD, 코어 종류: 쿼드코어, 색상계열: 블랙, 내장마이크 탑재여부: 내장마이크, 화면크기(인치): 15.6인치, 쿠팡상품번호: 6545083239 - 17564518650",https://www.coupang.com/vp/products/6545083239?itemId=17564518650&vendorItemId=88267274694
에이수스,에이수스 2023 비보북 15 코어i3 인텔 12세대,,"452,050원",로켓배송,4,"색상: 쿨 실버, 저장용량 × RAM용량 × 운영체제: 256GB × 16GB × Free DOS","CPU 모델명: 코어i3, CPU 모델 번호: i3-1215U, 화면크기: 39.6cm, 중량: 1.7kg, 출시년월: 2023.09, 쿠팡상품번호: 7614895040 - 20469774084",https://www.coupang.com/vp/products/7614895040?itemId=20469774084&vendorItemId=87537341443
삼성전자,삼성 노트북 NT200B5C-A i5 DDR3 8G SSD 128G 윈10,,,로켓배송,,,,https://www.coupang.com/vp/products/7944366871?itemId=21898829242&vendorItemId=88946872374
삼성전자,삼성 노트북 NT200B5C-A i5 DDR3 8G SSD 128G 윈10,,,로켓배송,,,,https://www.coupang.com/vp/products/7944366871?itemId=21898829249&vendorItemId=88946872429
삼성전자,"A급중고 삼성전자 노트북9 metal 초경량 NT901X5J인텔 7세대 i5 메모리 8GB 초고속 SSD 장착 15.6인치 FHD 윈도우10 설치
            미네랄 화이트 · NT901X5J · 코어i5 · 512GB · 8GB · WIN10 Pro",,"399,000원",에스엔에스 시스템,없음,,"해상도 (해상도 등급): FHD, 저장장치: SSD, 색상계열: 블랙, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7694779544 - 20586122178",https://www.coupang.com/vp/products/7694779544?itemId=20586122178&vendorItemId=83443669922
삼성전자,삼성 LG HP 노트북 i5 가정 업무 게임 포토샵 주식용 Win10 무상1년 사은품,,"246,000원",윤텍,없음,색상 × CPU 모델명 × 저장용량 × RAM용량 × 운영체제: 실버/블랙 × i5 6200 × 240GB × 8GB × Win10,"그래픽카드 형태: 외장그래픽카드 장착, 색상계열: 블랙, 내장마이크 탑재여부: 내장마이크, 저장장치 인터페이스: M.2 NVMe, 쿠팡상품번호: 7527467832 - 21096939083",https://www.coupang.com/vp/products/7527467832?itemId=21096939083&vendorItemId=88166484447
,베이직스 2023 베이직북S 10.1 셀러론,,"398,000원",로켓배송,2,"색상: White, 저장용량 × RAM용량 × 운영체제: 128GB × 8GB × WIN11 Pro","CPU 모델명: 셀러론, CPU 모델 번호: 셀러론-N4100, 화면크기: 25.54cm, 중량: 1.13kg, 출시년월: 2023.03, 쿠팡상품번호: 7250974223 - 18445032975",https://www.coupang.com/vp/products/7250974223?itemId=18445032975&vendorItemId=85586013127
레노버,"레노버 2023 V15 G4 코어i5 인텔 13세대
            Iron Gray · 256GB · 8GB · Free DOS · 83A10001KR","619,000원","489,000원",로켓배송,3,,"CPU 모델명: 코어i5, CPU 모델 번호: i5-1335U, 중량: 1.67kg, 출시년월: 2023.06, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7598185753 - 20093099130",https://www.coupang.com/vp/products/7598185753?itemId=20093099130&vendorItemId=87188429638
아이뮤즈,"아이뮤즈 2020 스톰북 14.1 셀러론
            White · 64GB · 4GB · WIN10 Home · StormBooK14",,"231,830원",로켓배송,없음,,"CPU 모델명: 셀러론, CPU 모델 번호: N4020, GPU 모델명: 인텔 HD 그래픽스 500, 화면크기: 35.814cm, 중량: 1.3kg, 쿠팡상품번호: 1797052276 - 3114075481",https://www.coupang.com/vp/products/1797052276?itemId=3114075481&vendorItemId=71101814090
,A급중고/삼성/LG/HP I5 I7 리퍼 중고노트북 리퍼노트북 게이밍노트북 기본SSD장착 WIN10,,"179,000원",에스엔에스 시스템,없음,"모델명/품번: 삼성 NT200B5C 지포스, 운영체제 × RAM용량 × 저장용량 × CPU 모델명 × 색상: WIN10 Pro × 8GB × 128GB × 코어i5 × 블랙","저장장치: SSD, 색상계열: 블랙, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 외장그래픽카드 장착, 저장장치 인터페이스: M.2 SATA, 쿠팡상품번호: 7292982699 - 18644591100",https://www.coupang.com/vp/products/7292982699?itemId=18644591100&vendorItemId=85790839818
,LG전자 그램 14 화이트 노트북 14Z980 코어i5-8250U 램12GB SSD256GB 윈10 탑재,"589,000원","559,550원",룰루메딕 주식회사,없음,"모델명/품번: 14Z980, 운영체제 × RAM용량 × 저장용량 × CPU 모델명 × 색상: WIN10 Home × 12GB × 256GB × 코어i5 8250U × 화이트","SSD용량: 256GB, CPU 세대: 인텔 8세대, CPU브랜드: 인텔, 가전 모델: LG 그램, 저장장치: SSD, 쿠팡상품번호: 6458262639 - 16386429388",https://www.coupang.com/vp/products/6458262639?itemId=16386429388&vendorItemId=83577788207
삼성전자,삼성 아티브북9 NT900 i7-4500 8G SSD256G Win10 중고노트북 베터리 50% 이상 보증,,"209,000원",(주)남강컴퓨터,없음,"운영체제: WIN10, RAM용량 × 저장용량 × 색상: 8GB × 256GB × 실버","저장장치: SSD, 내장마이크 탑재여부: 내장마이크, 가전 모델: 아티브북, 해상도 (해상도 등급): FHD, 패널: TN, 쿠팡상품번호: 7991213226 - 22212893795",https://www.coupang.com/vp/products/7991213226?itemId=22212893795&vendorItemId=89276920539
삼성전자,"삼성노트북 NT550XED-K24A 윈도우11탑재 가성비 인강용 사무용 학생용 업무용 노트북 추천 한컴오피스 증정
            그라파이트 · NT550XED-K24A · 펜티엄 · 256GB · 8GB · Windows11Pro",,"609,000원",주식회사 브랜드텍,없음,,"해상도 (해상도 등급): FHD, 패널: PLS, 저장장치: HDD+SSD, 코어 종류: 펜타코어, 색상계열: 그라파이트, 쿠팡상품번호: 7761832619 - 20932936460",https://www.coupang.com/vp/products/7761832619?itemId=20932936460&vendorItemId=87802699290
에이수스,"에이수스 2022 익스퍼트북 B1 14 셀러론
            블랙 · B1400CEAE · 셀러론 · 128GB · 4GB · WIN11 Pro",,"329,000원",주식회사 에이블컴파니,없음,,"저장장치: SSD, 색상계열: 블랙, 내장마이크 탑재여부: 내장마이크, 가전 모델: ExpertBook, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7811544872 - 21190701225",https://www.coupang.com/vp/products/7811544872?itemId=21190701225&vendorItemId=88538022792
삼성전자,삼성 초경량 13.3 중고노트북 NT911S3K i5-5200U 4GB SSD256GB WIN10,,"175,000원",(주)제이티지,없음,"운영체제: WIN10, RAM용량 × 저장용량 × 색상: 4GB × 256GB × 네이비","SSD용량: 256, 메모리종류: DDR3, CPU브랜드: 인텔, 화면크기(인치): 13, 색상계열: 네이비, 쿠팡상품번호: 7844834959 - 21365517110",https://www.coupang.com/vp/products/7844834959?itemId=21365517110&vendorItemId=88422931810
레노버,"레노버 2023 아이디어패드 슬림 3 15ABR8 15.6 라이젠5 라이젠 7000 시리즈
            ARCTIC GREY · 256GB · 16GB · WIN11 Home · 82XM0039KR","749,000원","649,000원",로켓배송,3,,"CPU 모델명: 라이젠5, 출시년월: 2023.03, 화면크기(인치): 약 15.6인치에 해당함, 그래픽카드 형태: 미장착, 저장장치: NVMe, 쿠팡상품번호: 7167043809 - 19658393157",https://www.coupang.com/vp/products/7167043809?itemId=19658393157&vendorItemId=86757218254
레노버,레노버 2022 ThinkPad E15 G4 15.6 라이젠5 라이젠 5000 시리즈,"629,000원","550,150원",로켓배송,3,"색상: Black, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 256GB × 8GB × Free DOS × 21ED004EKD","CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5-5625U, GPU 모델명: AMD Radeon Graphics, 화면크기: 39.6cm, 중량: 1.78kg, 쿠팡상품번호: 7685586594 - 14472055834",https://www.coupang.com/vp/products/7685586594?itemId=14472055834&vendorItemId=81715375492
삼성전자,삼성 노트북9 Always NT901X5T i7-8550U 램16G/8G SSD512G 윈10 (50대 한정 NVMe 1TB 무료UP),,"597,000원",(주)엘도라도,없음,"색상: 실버, CPU 모델명 × 저장용량 × RAM용량 × 운영체제: 코어i7 × 512GB × 16GB × WIN10 Pro","저장장치: SSD, 코어 종류: 쿼드코어, 색상계열: 실버, 내장마이크 탑재여부: 내장마이크, 가전 모델: Notebook 9, 쿠팡상품번호: 7650235412 - 20353401900",https://www.coupang.com/vp/products/7650235412?itemId=20353401900&vendorItemId=86616773392
삼성전자,"삼성노트북 NT301E5C-A i5 DDR3 8G SSD 128G 윈10
            NT301E5C-A · WIN10 · 4GB · 256GB · 블랙",,"170,000원",하프전자(주),없음,,"메모리종류: DDR3, 화면크기(인치): 15.6인치, 저장장치: SSD, CPU 모델명: 코어i5, 색상계열: 블랙, 쿠팡상품번호: 7978510641 - 22126355479",https://www.coupang.com/vp/products/7978510641?itemId=22126355479&vendorItemId=89173185012
레노버,레노버 2022 ThinkBook 15 G4 IAP 코어i5 인텔 12세대,"799,000원","534,000원",로켓배송,4,"색상: 미네랄 그레이, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 256GB × 16GB × Free DOS × 21DJ00C2KR","CPU 모델명: 코어i5, CPU 모델 번호: i5-1235U, GPU 모델명: 인텔 lris X Graphics, 중량: 1.7kg, 출시년월: 2022.04, 쿠팡상품번호: 7525138115 - 19657616152",https://www.coupang.com/vp/products/7525138115?itemId=19657616152&vendorItemId=86754747261
삼성전자,"삼성 노트북 15.6인치 NT371B5L 사무용 가정용 인강용 게이밍 롤 포토샵 i5 ssd탑재 윈10 pro
            단일색상 · NT371B5L · 코어i5 · 512GB · 16GB · WIN10 Pro",,"389,000원",아고라시스템즈,없음,,"저장장치: SSD, 내장마이크 탑재여부: 내장마이크, 화면크기(인치): 15.6, 저장장치 인터페이스: M.2 NVMe, 코어 종류: 쿼드코어, 쿠팡상품번호: 7310558711 - 20425617083",https://www.coupang.com/vp/products/7310558711?itemId=20425617083&vendorItemId=85838715729
레노버,"레노버 아이디어패드 Slim1-15ALC7
            15ALC7 · Free DOS · 8GB · 256GB · 실버",,"379,000원",주식회사메인CNS,없음,,"저장장치: SSD, 색상계열: 실버, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 미장착, 가전 모델: IdeaPad, 쿠팡상품번호: 7821567883 - 21246418697",https://www.coupang.com/vp/products/7821567883?itemId=21246418697&vendorItemId=88307015400
,삼성전자 갤럭시북 15.6 재택근무 학습용 노트북 한컴오피스팩 및 국내 정품 윈도우 패키지 동봉,"729,000원","699,000원",(주)한사랑씨앤씨,없음,모델명/품번 × 운영체제 × RAM용량 × 저장용량 × CPU 모델명 × 색상: NT550-I3 × WIN11 Home × 8GB × 250GB × 코어i3 × 실버,"저장장치: SSD, 색상계열: 실버, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 미장착, 화면크기(인치): 15.6인치, 쿠팡상품번호: 6703045034 - 15532761761",https://www.coupang.com/vp/products/6703045034?itemId=15532761761&vendorItemId=89292171900
에이수스,에이수스 2023 비보북 15 코어i3 인텔 12세대,,"538,900원",로켓배송,3,"색상: 쿨 실버, 저장용량 × RAM용량 × 운영체제: 256GB × 16GB × WIN11 Home","CPU 모델명: 코어i3, CPU 모델 번호: i3-1215U, 화면크기: 39.6cm, 중량: 1.7kg, 출시년월: 2023.09, 쿠팡상품번호: 7614895040 - 20469779642",https://www.coupang.com/vp/products/7614895040?itemId=20469779642&vendorItemId=87537608195
LG전자,LG전자 그램 14 코어 울트라5 인텔 Iris,"1,390,000원","1,209,300원",로켓배송,없음,"색상: 에센스 화이트, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 256GB × 8GB × WIN11 Home × 14Z90S-GR5CK","CPU 모델명: 코어Ultra5, 출시년월: 2024년 1월, 저장장치: SSD, 가전 모델: 그램 인텔 Iris, 내장마이크 탑재여부: 내장마이크, 쿠팡상품번호: 7792795332 - 21086817496",https://www.coupang.com/vp/products/7792795332?itemId=21086817496&vendorItemId=88148892190
에이수스,"에이수스 2024 비보북 15 코어i3 인텔 12세대
            쿨 실버 · 512GB · 8GB · Free DOS · X1504ZA-BQ1040","469,000원","468,000원",로켓배송,없음,,"CPU 모델명: 코어i3, CPU 모델 번호: 코어i3-1215U, 화면크기: 39.6cm, 중량: 1.7kg, 출시년월: 2024.03, 쿠팡상품번호: 7969218335 - 22066750339",https://www.coupang.com/vp/products/7969218335?itemId=22066750339&vendorItemId=89113893316
삼성전자,"삼성전자 노트북 9 metal NT901X5L i5-6200U 8G SSD Win10
            nt901x5l · WIN10 Home · 8GB · 512GB · 코어i5 · 단일색상","339,000원","322,100원",주식회사세컨핸드,3,,"SSD용량: 512GB, CPU 세대: 인텔 6세대 이하, CPU브랜드: 인텔, 가전 모델: NT901X5L, 모델 라인: 노트북, 쿠팡상품번호: 6455937069 - 14033324448",https://www.coupang.com/vp/products/6455937069?itemId=14033324448&vendorItemId=81281631954
,삼성전자 갤럭시북4 15.6 코어I5 13세대 한컴오피스팩 및 무선마우스 정품 윈도우11 패키지 동봉,"1,079,000원","1,049,000원",(주)한사랑씨앤씨,없음,"운영체제: WIN11 Home, RAM용량 × 저장용량 × 색상: 16GB × 512GB × 그레이","저장장치: SSD, 색상계열: 그레이, 내장마이크 탑재여부: 내장마이크, 화면크기(인치): 15.6, 가전 모델: Galaxy Book, 쿠팡상품번호: 7991194687 - 22212816611",https://www.coupang.com/vp/products/7991194687?itemId=22212816611&vendorItemId=89258837393
,삼성 노트북3 NT371B5J I5-4310M/16G/SSD512G/HD4600/15.6/WIN10,,"349,000원",에스엔에스 시스템,없음,"운영체제: WIN10 Pro, RAM용량 × 저장용량 × CPU 모델명 × 색상: 16GB × 512GB × 코어i5 × 블랙","저장장치: SSD, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 외장그래픽카드 장착, 가전 모델: Notebook 3, 저장장치 인터페이스: M.2 NVMe, 쿠팡상품번호: 7581844823 - 18821560888",https://www.coupang.com/vp/products/7581844823?itemId=18821560888&vendorItemId=85951869399
삼성전자,"삼성노트북 NT550XED-K24A 윈도우11탑재 가성비 인강용 사무용 학생용 업무용 노트북 추천 한컴오피스 증정
            실버 · NT550XED-K24A · 펜티엄 · 128GB · 8GB · Windows11Pro",,"579,000원",주식회사 브랜드텍,없음,,"해상도 (해상도 등급): FHD, 패널: PLS, 저장장치: HDD+SSD, 코어 종류: 펜타코어, 색상계열: 실버, 쿠팡상품번호: 7761832619 - 20932936469",https://www.coupang.com/vp/products/7761832619?itemId=20932936469&vendorItemId=87802699218
LG전자,LG 그램 14Z960 i5-6200 8G SSD256G Win10 가벼운 슬림한 노트북 980g,,"407,600원",주식회사세컨핸드,2,,"저장장치: SSD, 가전 모델: 그램14, 내장마이크 탑재여부: 있음, 색상계열: 화이트, 코어 종류: 듀얼코어, 쿠팡상품번호: 4846122865 - 6267715305",https://www.coupang.com/vp/products/4846122865?itemId=6267715305&vendorItemId=73563344463
레노버,"레노버 2023 아이디어패드 슬림 5i 14IRL 14 코어i5 인텔 13세대
            Cloud Grey · 512GB · 16GB · Free DOS · 82XD002XKR","999,000원","829,000원",로켓배송,6,,"CPU 모델명: 코어i5, CPU 모델 번호: i5-13500H, 화면크기: 35.5cm, 중량: 1.4kg, 출시년월: 2023.05, 쿠팡상품번호: 7355580399 - 18938714252",https://www.coupang.com/vp/products/7355580399?itemId=18938714252&vendorItemId=86065251632
LG전자,LG 노트북 그램 14Z980 가벼운 그램노트북 i5 DDR4 초고속 M.2 SSD 장착 윈도우10 프로,,"559,000원",에스엔에스 시스템,없음,"모델명/품번: 14Z980, 운영체제 × RAM용량 × 저장용량 × CPU 모델명 × 색상: WIN10 × 16GB × 256GB × 코어i5 × 화이트","가전 모델: LG 그램, 저장장치: SSD, 화면크기(인치): 14, 내장마이크 탑재여부: 내장마이크, 코어 종류: 쿼드코어, 쿠팡상품번호: 6458262639 - 20176278777",https://www.coupang.com/vp/products/6458262639?itemId=20176278777&vendorItemId=87268386180
에이수스,"에이수스 2022 익스퍼트북 B1 14 셀러론
            블랙 · B1400CEAE · 셀러론 · 256GB · 8GB · WIN11 Pro",,"379,000원",주식회사 에이블컴파니,없음,,"저장장치: SSD, 색상계열: 블랙, 내장마이크 탑재여부: 내장마이크, 가전 모델: ExpertBook, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7811544872 - 21190701224",https://www.coupang.com/vp/products/7811544872?itemId=21190701224&vendorItemId=88538022826
삼성전자,"사무용 노트북 렌탈 대여 임대 사무용 가정용 회사용 관공서용 대량렌탈가능
            사무용노트북 · WIN11 Pro · 8GB · 128GB · 코어i5 · 30일",,"49,900원",로켓배송,없음,,"최대 배터리 사용시간: 3시간, 색상계열: 블랙, 코어 종류: 듀얼코어, 중량: 2.2kg, 저장장치 인터페이스: SATA, 쿠팡상품번호: 7202643336 - 18209661299",https://www.coupang.com/vp/products/7202643336?itemId=18209661299&vendorItemId=88659094050
에이수스,"에이수스 2024 비보북 고 15 코어i3 인텔 13세대
            쿨 실버 · 512GB · 8GB · Free DOS · E1504GA-BQ483","429,000원","410,930원",로켓배송,없음,,"CPU 모델명: 코어i3, CPU 모델 번호: 코어i3-N305, 중량: 1.63kg, 출시년월: 2024.01, CPU 기본속도: 1.8GHz, 쿠팡상품번호: 7923552475 - 21775970313",https://www.coupang.com/vp/products/7923552475?itemId=21775970313&vendorItemId=88824783499
LG전자,LG 울트라노트북 i5 6200U RAM 16GB SSD 1TB 윈10 15UB470,"539,000원","512,050원",씨디엠네트워크,없음,"운영체제: WIN10, RAM용량 × 저장용량 × CPU 모델명 × 색상: 16GB × 1TB × 코어i5 × 화이트","RAM/메모리 최대 용량: 16GB, SSD용량: 1TB, 메모리종류: DDR4, 화면크기(인치): 15.6, 저장장치: SSD, 쿠팡상품번호: 6848726966 - 16306703449",https://www.coupang.com/vp/products/6848726966?itemId=16306703449&vendorItemId=83498976228
삼성전자,삼성노트북 아티브북3 NT371B5J i5-4세대/RAM8GB/SSD256GB/WIN10/웹캠O/사무 주식 매장 학원 인강용 최적화,,"238,000원",에스엔에스 시스템,없음,"운영체제: WIN10 Pro, RAM용량 × 저장용량 × CPU 모델명 × 색상: 8GB × 256GB × 코어i5 × 블랙엔그레이","저장장치: SSD, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 미장착, 가전 모델: 아티브북, 저장장치 인터페이스: M.2 NVMe, 쿠팡상품번호: 7581844823 - 20015861785",https://www.coupang.com/vp/products/7581844823?itemId=20015861785&vendorItemId=87684239311
에이수스,에이수스 2023 비보북 15 코어i3 인텔 12세대,"449,000원","441,530원",로켓배송,3,"색상: 쿨 실버, 저장용량 × RAM용량 × 운영체제: 256GB × 8GB × Free DOS","CPU 모델명: 코어i3, CPU 모델 번호: i3-1215U, 화면크기: 39.6cm, 중량: 1.7kg, 출시년월: 2023.09, 쿠팡상품번호: 7614895040 - 20175894635",https://www.coupang.com/vp/products/7614895040?itemId=20175894635&vendorItemId=87267806771
레노버,"레노버 2023 아이디어패드 슬림 3 16ABR8 16 라이젠5 라이젠 7000 시리즈
            Arctic Grey (82XR) · 256GB · 16GB · Free DOS · 82XR000HKR","699,000원","619,000원",로켓배송,3,,"CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5-7530U, 화면크기: 40.6cm, 중량: 1.85kg, 출시년월: 2023.03, 쿠팡상품번호: 7211760125 - 18252880585",https://www.coupang.com/vp/products/7211760125?itemId=18252880585&vendorItemId=85399584183
삼성전자,"사무용 노트북 렌탈 대여 임대 사무용 가정용 회사용 관공서용 대량렌탈가능
            사무용노트북 · WIN11 Pro · 8GB · 128GB · 코어i5 · 15일",,"34,900원",로켓배송,없음,,"최대 배터리 사용시간: 3시간, 색상계열: 블랙, 코어 종류: 듀얼코어, 중량: 2.2kg, 저장장치 인터페이스: SATA, 쿠팡상품번호: 7202643336 - 18209661289",https://www.coupang.com/vp/products/7202643336?itemId=18209661289&vendorItemId=88659094057
에이수스,"에이수스 2024 젠북 14 코어Ultra9 인텔 14세대
            폰더 블루 · 1TB · 32GB · WIN11 Home · UX3405MA-PZ293W",,"1,769,630원",로켓배송,2,,"CPU 모델명: 코어Ultra9, CPU 모델 번호: 코어Ultra9-185H, 화면크기: 35.56cm, 중량: 1.28kg, 출시년월: 2024.01, 쿠팡상품번호: 7921342535 - 21762532767",https://www.coupang.com/vp/products/7921342535?itemId=21762532767&vendorItemId=88811478393
LG전자,LG 그램 14Z960 14ZB970 I5-6200U/8G/SSD512 슬림한 노트북 무게 980g,,"498,000원",노트클럽,없음,"운영체제: WIN10 Pro, RAM용량 × 저장용량 × 색상: 12GB × 512GB × 화이트","내장마이크 탑재여부: 내장마이크, 가전 모델: LG 그램, 색상계열: 화이트, 저장장치 인터페이스: M.2 NVMe, 저장장치: SSD, 쿠팡상품번호: 7835500865 - 21317725272",https://www.coupang.com/vp/products/7835500865?itemId=21317725272&vendorItemId=88377133669
LG전자,LG그램 17인치 30일 노트북렌탈 대여,,"99,900원",로켓배송,없음,"운영체제: WIN10, RAM용량 × 저장용량 × 색상: 16GB × 256GB × 화이트","패널: IPS, 화면크기(인치): 17, 중량: 1.35kg, CPU 모델명: 코어i5, 코어 종류: 쿼드코어, 쿠팡상품번호: 7891652292 - 21607364258",https://www.coupang.com/vp/products/7891652292?itemId=21607364258&vendorItemId=88658781494
,LG 15UB470 I5-6200/8G/SSD128G/HD520/15.6/WIN10,,"299,000원",에스엔에스 시스템,없음,,"저장장치: SSD, 내장마이크 탑재여부: 내장마이크, CPU 종류: i5, 코어 종류: 듀얼코어, 색상계열: 화이트, 쿠팡상품번호: 6431886426 - 13884260765",https://www.coupang.com/vp/products/6431886426?itemId=13884260765&vendorItemId=81134022413
삼성전자,"삼성 사무용 인강 노트북 인텔 i5 i7 SSD장착 윈10 홈
            NT370E · WIN10 Home · 8GB · 128GB · 코어i5 4세대 · 블랙",,"259,000원",재원 알앤티,없음,,"저장장치: SSD, 색상계열: 블랙, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 미장착, 저장장치 인터페이스: M.2 NVMe, 쿠팡상품번호: 7228207012 - 18334398651",https://www.coupang.com/vp/products/7228207012?itemId=18334398651&vendorItemId=85478856335
LG전자,[새상품] LG 그램 17인치 노트북 17ZB90R 13세대 i7 16G 512G,,"1,399,000원",(주)아이온코리아,없음,"운영체제: WIN11 Home, RAM용량 × 저장용량 × 색상: 16GB × 512GB × 블랙","SSD용량: 512, 화면터치기능: 터치불가, CPU 세대: 인텔 13세대, CPU브랜드: 인텔, 화면크기(인치): 17, 쿠팡상품번호: 7927507637 - 21796827092",https://www.coupang.com/vp/products/7927507637?itemId=21796827092&vendorItemId=89278316704
,"베이직스 2023 베이직북 14 프로 코어i5 인텔 10세대
            White · 256GB · 8GB · WIN11 Home · BP1423FW","583,000원","543,000원",로켓배송,2,,"CPU 모델명: 코어i5, CPU 모델 번호: 코어i5-1035G4, 화면크기: 35.814cm, 중량: 1.35kg, 출시년월: 2023.09, 쿠팡상품번호: 7623579480 - 20217333667",https://www.coupang.com/vp/products/7623579480?itemId=20217333667&vendorItemId=87307043076
LG전자,"중고노트북 삼성 LG HP DELL 레노버 한성 ASUS 정품윈도우 SSD 대화면 노트북
            단일상품 · WIN10 Home · 4GB · 128GB · 코어i5 · 블랙",,"109,000원",(주)에스와이씨앤아이,없음,,"저장장치: SSD, 색상계열: 블랙, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 미장착, 저장장치 인터페이스: M.2 NVMe, 쿠팡상품번호: 7376292269 - 19039045812",https://www.coupang.com/vp/products/7376292269?itemId=19039045812&vendorItemId=86251127033
델,델 2023 인스피론 15 3520 15.6 코어i5 인텔 12세대,,"569,000원",주식회사 이든이엠에스,없음,"색상: 카본 블랙, 저장용량 × RAM용량 × 운영체제: 256GB × 16GB × WIN11 Home","CPU 모델명: 코어i5, CPU 모델 번호: i5-1235U, 중량: 1.68kg, 출시년월: 2023.03, 화면크기(인치): 약 15.6인치에 해당함, 쿠팡상품번호: 6750512228 - 19657726417",https://www.coupang.com/vp/products/6750512228?itemId=19657726417&vendorItemId=85916724832
LG전자,"LG 울트라 PC 15.6인치 7세대 SSD장착 윈도우11 프로
            15UB470 · WIN11 Pro · 8GB · 128GB · 단일색상",,"319,000원",신화시스템,없음,,"저장장치: SSD, 코어 종류: 듀얼코어, 내장마이크 탑재여부: 내장마이크, 그래픽카드 형태: 미장착, 화면크기(인치): 15.6인치, 쿠팡상품번호: 7776389143 - 21007132507",https://www.coupang.com/vp/products/7776389143?itemId=21007132507&vendorItemId=88070969964
에이수스,"에이수스 2024 비보북 17 코어i5 인텔 13세대
            콰이어트 블루 · 512GB · 8GB · Free DOS · X1704VA-AU316",,"698,980원",로켓배송,2,,"CPU 모델명: 코어i5, CPU 모델 번호: 코어i5-1335U, 화면크기: 43.94cm, 중량: 2.1kg, 출시년월: 2024.02, 쿠팡상품번호: 7913163663 - 21719049150",https://www.coupang.com/vp/products/7913163663?itemId=21719049150&vendorItemId=88768313096
,삼성전자 갤럭시북 15.6 재택근무 학습용 노트북 한컴오피스팩 및 국내 정품 윈도우 패키지 동봉,"1,129,000원","1,099,000원",(주)한사랑씨앤씨,없음,모델명/품번 × 운영체제 × RAM용량 × 저장용량 × CPU 모델명 × 색상: R-A51AS × WIN11 Home × 16GB × 500GB × 실버,"저장장치: SSD, 색상계열: 실버, 내장마이크 탑재여부: 내장마이크, 화면크기(인치): 15.6인치, 가전 모델: Galaxy Book, 쿠팡상품번호: 6703045034 - 22208711598",https://www.coupang.com/vp/products/6703045034?itemId=22208711598&vendorItemId=89292171785
