브랜드,제품명,현재 판매가,회원 할인가,판매자,다른 판매자,옵션,상세정보,URL
에이수스,에이수스 2024 TUF 게이밍 F17 코어i7 인텔 13세대 지포스 RTX 4050,"1,676,000원","1,576,000원",로켓배송,2,"색상: 메카 그레이, 저장용량 × RAM용량 × 운영체제: 1536GB × 32GB × Free DOS","CPU 모델명: 코어i7, CPU 모델 번호: 코어i7-13620H, GPU 모델명: 지포스 RTX 4050, 화면크기: 43.9cm, 중량: 2.6kg, 쿠팡상품번호: 7881914474 - 21880186610",https://www.coupang.com/vp/products/7881914474?itemId=21880186610&vendorItemId=88924362984
에이서,"에이서 2023 스위프트 엣지 OLED 16 라이젠7 라이젠 7000 시리즈
            Glacier Blue · 512GB · 16GB · Free DOS · SFE16-42-R3TY",,"1,029,000원",로켓배송,2,,"CPU 모델명: 라이젠7, CPU 모델 번호: 라이젠7-7735U, 중량: 1.17kg, 출시년월: 2023.02, CPU 기본속도: 2.7GHz, 쿠팡상품번호: 7458562479 - 19435336277",https://www.coupang.com/vp/products/7458562479?itemId=19435336277&vendorItemId=86546495952
HP,"HP 2024 노트북 14 코어i5 인텔 13세대
            Natural Silver · 512GB · 8GB · WIN11 Home · 14-ep0185TU",,"770,690원",로켓배송,없음,,"CPU 모델명: 코어i5, CPU 모델 번호: 코어i5-1335U, 화면크기: 35.6cm, 중량: 1.4kg, 출시년월: 2024.01, 쿠팡상품번호: 7912875948 - 21717611717",https://www.coupang.com/vp/products/7912875948?itemId=21717611717&vendorItemId=88766888830
아이뮤즈,"아이뮤즈 2020 스톰북 14.1 셀러론
            White · 64GB · 4GB · Free DOS · StormBooK14",,"229,000원",로켓배송,없음,,"CPU 모델명: 셀러론, CPU 모델 번호: N4020, GPU 모델명: 인텔 HD 그래픽스 500, 화면크기: 35.81cm, 중량: 1.3kg, 쿠팡상품번호: 1797052276 - 2251645099",https://www.coupang.com/vp/products/1797052276?itemId=2251645099&vendorItemId=70249015004
삼성전자,"삼성 15.6인치 12세대 갤럭시북2 윈도우11 프로
            NT550XEZ · WIN11 Pro · 16GB · 256GB · 단일색상",,"719,000원",로켓배송,2,,"CPU 세대: 인텔 12세대, CPU브랜드: 인텔, 저장장치: SSD, 해상도 (해상도 등급): FHD, CPU 모델 번호: i5-1235U, 쿠팡상품번호: 7789815300 - 21072701438",https://www.coupang.com/vp/products/7789815300?itemId=21072701438&vendorItemId=89011219546
레노버,"레노버 2022 씽크패드 L13 G2 라이젠5 라이젠 5000 시리즈
            Black · 256GB · 8GB · WIN10 Pro · ThinkPad L13 G2","679,500원","561,600원",로켓배송,2,,"CPU 모델명: 라이젠5, CPU 모델 번호: 라이젠5 Pro, 중량: 1.39kg, 출시년월: 2022.08, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7827723657 - 20067233831",https://www.coupang.com/vp/products/7827723657?itemId=20067233831&vendorItemId=87163079326
레노버,"레노버 2024 요가 슬림 7 14IMH9 코어Ultra5 인텔 14세대
            Luna Grey · 512GB · 16GB · Win11 Home · 83CV0027KR","1,401,400원","1,231,400원",로켓배송,2,,"CPU 모델명: 코어Ultra5, CPU 모델 번호: 코어Ultra5-125H, 중량: 1.43kg, 출시년월: 2024.01, 패널: OLED, 쿠팡상품번호: 7883984804 - 21880302081",https://www.coupang.com/vp/products/7883984804?itemId=21880302081&vendorItemId=88924150330
레노버,"레노버 2024 아이디어패드 5i 프로 14IMH 코어Ultra7
            Arctic Grey · 2TB · 32GB · Free DOS · 83D2001DKR","1,448,990원","1,398,990원",로켓배송,2,,"CPU 모델명: 코어Ultra7, CPU 모델 번호: 코어Ultra7-155H, 화면크기: 35.5cm, 중량: 1.4kg, 출시년월: 2020.02, 쿠팡상품번호: 7883087795 - 21880242148",https://www.coupang.com/vp/products/7883087795?itemId=21880242148&vendorItemId=88924361898
MSI,MSI 2023 CYBORG 15 15.6 코어i7 인텔 12세대 지포스 RTX 4060,"1,226,100원","1,199,000원",로켓배송,2,"색상: 블랙, 저장용량 × RAM용량 × 운영체제 × 모델명/품번: 512GB × 8GB × Free DOS × MS-15K","CPU 모델명: 코어i7, CPU 모델 번호: 코어 i7-12650H, GPU 모델명: 지포스 RTX 4060, 화면크기: 39.6cm, 중량: 1.98kg, 쿠팡상품번호: 7689420062 - 18244172520",https://www.coupang.com/vp/products/7689420062?itemId=18244172520&vendorItemId=85391040183
에이수스,에이수스 2024 TUF 게이밍 F17 코어i7 인텔 13세대 지포스 RTX 4050,"1,535,060원","1,435,060원",로켓배송,2,"색상: 메카 그레이, 저장용량 × RAM용량 × 운영체제: 512GB × 32GB × Win11 Home","CPU 모델명: 코어i7, CPU 모델 번호: 코어i7-13620H, GPU 모델명: 지포스 RTX 4050, 화면크기: 43.9cm, 중량: 2.6kg, 쿠팡상품번호: 7881914474 - 21880192828",https://www.coupang.com/vp/products/7881914474?itemId=21880192828&vendorItemId=88924362721
삼성전자,"삼성 갤럭시북3 프로 14형 인텔 13세대 윈도우11 사무용 가벼운 고사양 노트북
            베이지 · 갤럭시북3프로 · 코어i5 · 256GB · 16GB · WIN11 Home","1,399,000원","1,379,000원",(주)엔씨디지텍,없음,,"해상도 (해상도 등급): WQXGA, 패널: AMOLED, 저장장치: SSD, 코어 종류: 옥타코어, 색상계열: 베이지, 쿠팡상품번호: 7694670793 - 20585529461",https://www.coupang.com/vp/products/7694670793?itemId=20585529461&vendorItemId=89357086767
HP,"HP 2023 빅터스 15 코어i5 인텔 12세대 지포스 RTX 4050
            Mica Silver · 512GB · 16GB · WIN11 Home · 15-fa1108TX","1,323,740원","1,183,740원",로켓배송,3,,"CPU 모델명: 코어i5, CPU 모델 번호: i5-12500H, GPU 모델명: 지포스 RTX 4050, 화면크기: 39.6cm, 중량: 2.29kg, 쿠팡상품번호: 7420594832 - 20142275050",https://www.coupang.com/vp/products/7420594832?itemId=20142275050&vendorItemId=87223808338
레노버,"레노버 2023 V14 G4 IRU 코어i3 인텔 13세대
            Iron Gray · 256GB · 16GB · Win11 HOME · 83A00006KR","776,350원","716,350원",로켓배송,없음,,"CPU 모델명: 코어i3, CPU 모델 번호: 코어i3-1315U, 중량: 1.41kg, 출시년월: 2023.07, 그래픽카드 형태: 미장착, 쿠팡상품번호: 7539256992 - 20470212513",https://www.coupang.com/vp/products/7539256992?itemId=20470212513&vendorItemId=87537608322
