Name,Price,Link,Img_url
" LG전자 그램 14 코어 울트라5 인텔 Iris, 에센스 화이트, 256GB, 8GB, WIN11 Home, 14Z90S-GR5CK ","1,390,000",https://www.coupang.com/vp/products/7792795332?itemId=21086817496&vendorItemId=88148892190,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/1347383580896727-29b0a052-8e2f-4122-a681-b7b6acdd7fce.jpg
" 삼성노트북 NT301E5C-A i5 DDR3 8G SSD 128G 윈10, WIN10, 16GB, 128GB, 블랙 ","190,000",https://www.coupang.com/vp/products/7978510641?itemId=22126355482&vendorItemId=89173185019,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/9cea/0c94b6af832379b46595664c95b1524c02e141bfd461a9ca468ff49d3705.jpg
" 삼성 노트북3 NT371B5J I5-4310M/8G/SSD256G/HD4600/15.6/WIN10, WIN10, 8GB, 256GB, I5, 투톤 ","189,000",https://www.coupang.com/vp/products/7581844823?itemId=21581453330&vendorItemId=88641369927,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/815f/27bc4cc86703e91463e06016793a0cbfb67a1f4dbd66fabd4a9c55c345f9.jpg
" A급중고 삼성전자 노트북9 metal 초경량 NT901X5J인텔 7세대 i5 메모리 8GB 초고속 SSD 장착 15.6인치 FHD 윈도우10 설치, 미네랄 화이트, NT901X5J, 코어i5, 256GB, WIN10 Pro ","349,000",https://www.coupang.com/vp/products/7694779544?itemId=20586122179&vendorItemId=83443669935,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/bfdd/5894f89e5a2848cd399a9c0700880389525985f498d53e94ea3331ae259d.jpg
" 삼성 노트북 I3-3210 4G ssd120G, 삼성노트북, 코어i5 3210, 120GB, 4GB, WIN10 Home ","149,000",https://www.coupang.com/vp/products/7650834051?itemId=20356479016&vendorItemId=88419754026,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/fb19/86850bc8e237cb5b0d45cb90740c150bfd7e590de6da75d835dcf3ab5c0e.jpg
" 가성비 좋은 삼성 노트북 i5 4세대 8G SSD 240 NT370E5J, WIN10, 8GB, 240GB, 블랙그레이 ","175,000",https://www.coupang.com/vp/products/7905884013?itemId=21679735114&vendorItemId=88729875373,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/9b9f/a45034d732ec939df5227a3fbe1bea6b986d1a14bbf8c99a09834893151e.jpg
" A급중고 Miix 700 2 IN 1 인텔 m5-6Y54/8G/128G/13.3 FHD+터치스크린/WIN10, WIN10, 8GB, 128GB, 골드 ","198,000",https://www.coupang.com/vp/products/7827957340?itemId=21282154977&vendorItemId=88342229597,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/f68a/209d32d397062644c7aa35aa204ed5757fa2949036127f759b81af64e352.jpg
" 삼성노트북 NT301E5C-A i5 DDR3 8G SSD 128G 윈10, WIN10, 16GB, 256GB, 블랙 ","210,000",https://www.coupang.com/vp/products/7978510641?itemId=22126355484&vendorItemId=89173185024,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/9cea/0c94b6af832379b46595664c95b1524c02e141bfd461a9ca468ff49d3705.jpg
" A급중고/삼성/LG/HP I5 I7 리퍼 중고노트북 리퍼노트북 게이밍노트북 기본SSD장착 WIN10, HP 430-G2, WIN10 Pro, 8GB, 128GB, 코어i5, 블랙 ","149,000",https://www.coupang.com/vp/products/7292982699?itemId=18644389198&vendorItemId=85790839977,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/761e/68eace32c98bc052c5b895609f728730fabb67ecbef620df2204000c2805.jpg
" HP 2024 노트북 15 N100, 실버, 128GB, 4GB, WIN11 S, 15-fd0247TU ","354,460",https://www.coupang.com/vp/products/7812159807?itemId=21193285017&vendorItemId=88254604343,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/2024/01/03/15/2/39408baf-b44b-4e32-8b07-f5437c942c15.jpg
" LG전자 울트라PC 15U470 i5-7200U 16G Win10, 16GB, 1256GB, 코어i5, 화이트 ","395,000",https://www.coupang.com/vp/products/7353085098?itemId=18926590807&vendorItemId=86053529976,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/c053/f4cded55ac91e991a25b8ae36cd7be769830676f94455269e4e82c7a6e18.jpg
" LG 울트라PC 15U560 6세대 i5 8G SSD Win10, 8GB, SSD 128, 포함 ","294,000",https://www.coupang.com/vp/products/5000628409?itemId=6684443376&vendorItemId=73978137925,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/a58a/e0ca68f2e247a0830b9d782c7e04498f8a0908453b418aef1ccf252611fb.jpg
" 삼성전자 NT371B5L I7 16G 신품 SSD512 920MX WIN10, 블랙, 512GB, 16GB ","379,000",https://www.coupang.com/vp/products/5269169030?itemId=7504936507&vendorItemId=74795720729,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/5273/b8a48210889b5097d5bc09d9dcd1f917132f4f483dc430055bbdb5873e19.jpg
" A급중고 DELL 레티튜드 E7470 i5-6300U/8G/SSD256G/HD520/14/WIN10 명품노트북 인강용, WIN10 Pro, 8GB, 256GB, 코어i5, 블랙 ","199,000",https://www.coupang.com/vp/products/7460811136?itemId=20262090326&vendorItemId=81131278678,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/0809/706fcadb74cbe4f3ee9635dc70ae8cc044e4b856d05d0614351e684ac3cc.jpg
 삼성전자 NT371B5J i5 8G SSD256GB Win11 ,"247,000",https://www.coupang.com/vp/products/7694973129?itemId=20587023069&vendorItemId=82559002569,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/5edf/9217a445934f795d145bccae5b76b17ed321cd76c3c11367c5d924f1a01e.jpg
" 삼성 노트북3 NT371B5J I5-4310M/8G/SSD256G/HD4600/15.6/WIN10, SAMSUNGNT371B5J, WIN10 Home, 8GB, 256GB, 코어i5, 블랙 ","238,000",https://www.coupang.com/vp/products/7581844823?itemId=14384439272&vendorItemId=81134022482,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/f3e5/0a0dc84cf6445c327c4f83e05cdb668cbb7c876122f7691d89d85c5769b8.jpg
" LG 8세대 GRAM 14Z980 코어i5 16GB SSD256GB Win10, WIN10 Pro, 256GB, 화이트 ","559,000",https://www.coupang.com/vp/products/6458262639?itemId=14045718625&vendorItemId=87474683018,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/8eb5/91e468e96ccbc035ab5ef591f0f9dc2f6bc7b58f1abdd09138b5ea4e1b9a.jpg
" [한정수량] 15인치 코어i5 램 8G SSD 240G WIN10 삼성노트북 랜덤발송, 랜덤, 8GB, 240GB, 랜덤 ","170,000",https://www.coupang.com/vp/products/7925795277?itemId=21788417959&vendorItemId=88837102067,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/9cea/0c94b6af832379b46595664c95b1524c02e141bfd461a9ca468ff49d3705.jpg
" 주연테크 2023 캐리북T 13.3 펜티엄 실버, 메탈, 128GB, 4GB, WIN11 Pro, J3GP Pro ","348,190",https://www.coupang.com/vp/products/7413181963?itemId=2808814534&vendorItemId=70798384730,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/6493033861260-f447f812-fde9-45aa-9d26-afa9c6b2c7c0.jpg
" LG 울트라PC 15U560 6세대 i5 지포스940M 15.6인치 윈도우10, 8GB, WIN10 Pro, 628GB, 코어i5, 화이트 ","499,000",https://www.coupang.com/vp/products/6359373947?itemId=13418949659&vendorItemId=81165660205,https://thumbnail9.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/77b9/c66c78b9b0aa1a8441f644e002ba8108b8f0898ecfc75e7f38883a13c46d.jpg
" 삼성전자 시리즈3 NT301E5C i5-3210M 4G SSD128 Win10, WIN10 Pro, 4GB, 128GB, 코어i5 ","139,000",https://www.coupang.com/vp/products/6461078951?itemId=14061226032&vendorItemId=81308548818,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/cd9d/2ed0e760fd95b37a34781d405c588cd31845e84792fce38630f9c996b497.jpg
" 레노버 씽크패드 T460S I5-6200U/8GB/SSD256GB/HD620/14인치/WIN10 PRO, 블랙, I5, 256GB, 8GB, WIN10 Pro ","199,000",https://www.coupang.com/vp/products/7677818783?itemId=20499422907&vendorItemId=86986275090,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/80f1/b284b343435a37830d0f4e0bcaf9545c2d78e26d864a82f87f2526c86cdf.jpg
" LG 울트라PC 15U560 6세대 i7 지포스940M 15.6인치 윈도우10, WIN10, 8GB, 512GB, 코어i7, 화이트 ","399,000",https://www.coupang.com/vp/products/6465302909?itemId=14089607895&vendorItemId=87426161270,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/1d51/f59e0c6e2a82a0ede8268cc3b7f7fd801ae0d4a42b80e132b9a09836ecdf.jpg
" LG XNOTE 15U560 I5-6300U/8G/SSD128G/HD520/15.6/WIN10, WIN10 ","298,000",https://www.coupang.com/vp/products/6431886792?itemId=13884262431&vendorItemId=81134023248,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/0a4d/1098d95aa600f80c0bfd5baf40030b5851e65b517c9a4ab28a364e5aaa1e.jpg
